Milliseconds,X,Y,Z,ground truth
10140,0.46091247,-0.9111813,-1.0248289,no
10160,-0.4891527,0.6028358,-0.38702774,no
10181,0.54750603,-0.6848088,-1.5734155,no
10200,0.7993964,-1.251864,-1.5116742,no
10221,0.57343686,-0.57753086,-1.0337076,no
10240,-0.2531164,0.07133045,0.95648044,no
10260,0.07539321,0.7615843,1.3656744,no
10281,1.2291477,0.05241772,0.5419458,no
10300,0.24025811,-0.20453542,0.7322953,no
10320,-0.28154278,0.71996206,-0.33255598,no
10341,0.15944977,-0.1047765,-1.4495732,no
10360,-0.22856341,0.15386702,-0.3277396,no
10380,0.7132079,0.16326469,1.7104663,no
10401,1.2413404,0.23802757,1.4466112,no
10421,1.0529103,0.05749765,0.23791403,no
10441,-1.0743002,0.76658416,0.014849941,no
10460,0.6582083,-1.4027717,-2.0647686,no
10481,0.85423815,-0.025077228,-0.3994738,no
10500,0.055771578,-0.2162044,1.9262294,no
10520,-0.11610724,-0.017623948,0.8615682,no
10541,0.31654584,-0.17953242,-1.2590959,no
10560,-0.18384312,-0.2875841,-1.3363863,no
10581,-0.14963488,-0.721556,-2.3724923,no
10600,0.46890238,-1.2817025,-2.6033716,no
10620,-0.6591401,0.08568655,-0.47199088,no
10641,1.1264024,-0.3516306,0.9893003,no
10660,1.0204111,-1.1122851,-0.34112418,no
10680,-1.18231,-0.3296709,-0.5724653,no
10701,-0.28813553,-0.9784848,-0.22288683,no
10720,-1.0788333,-0.4134071,-0.16114615,no
10740,0.7085273,-0.7421268,-0.6963558,no
10761,-0.12330575,-0.30516434,-0.5425869,no
10780,0.7322982,0.31602967,0.2511991,no
10800,0.6705253,0.986045,1.6546717,no
10821,0.9259375,-0.5403731,-0.5049649,no
10840,0.7407703,-0.900802,-0.43338096,no
10860,-0.6444648,0.45609283,0.33992204,no
10881,-0.59671736,0.06871371,1.4535561,no
10900,1.6500229,-0.88487494,0.7326943,no
10921,0.1964427,0.4160122,0.6648898,no
10940,0.17109017,0.96023524,1.3767885,no
10960,0.86503565,0.6353465,0.49331486,no
10981,0.11296585,0.08732965,-0.7379339,no
11000,0.36627975,-0.5458703,-2.3572373,no
11020,0.4932357,-0.028845912,-1.4301543,no
11041,-1.109275,0.1544768,1.1953771,no
11060,0.90990114,-0.8153459,0.24628125,no
11081,-0.11438414,-0.55660236,-0.07998867,no
11100,0.18492076,-0.46364662,0.14728728,no
11120,0.38327888,-0.59615284,-1.2617522,no
11140,-0.30459514,-1.1653712,-2.4732678,no
11161,0.795527,-1.2683778,-2.3045044,no
11180,0.5114875,-0.6227995,-1.0376196,no
11200,0.73875237,-0.68254757,1.2403272,no
11220,0.15367138,-0.47385326,0.50230736,no
11240,-0.22617312,-0.117446266,1.4048581,no
11261,0.69458234,-0.1863688,-0.8541979,no
11280,-0.4129602,-0.21163118,-0.89886665,no
11300,-1.4253707,0.4157335,0.44519094,no
11320,0.73636824,0.36054435,0.21880981,no
11340,1.0302622,0.30552933,1.4775033,no
